,danceability,energy,speechiness,acousticness,liveness,valence,date
i,0.634,0.668,0.0689,0.432,0.552,0.435,2021-6-13-18:39
i,0.634,0.668,0.0689,0.432,0.552,0.535,2021-6-13-19:39
i,0.518,0.411,0.0335,0.896,0.112,0.0782,2021-6-14-1:45
i,0.781,0.619,0.0882,0.22,0.112,0.391,2021-6-14-1:52
i,0.607,0.793,0.0322,0.0968,0.0852,0.348,2021-6-14-1:58
i,0.607,0.793,0.0322,0.0968,0.0852,0.348,2021-6-14-2:39
i,0.607,0.793,0.0322,0.0968,0.0852,0.348,2021-6-14-3:13
i,0.795,0.306,0.044,0.0284,0.103,0.246,2021-6-14-3:18
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-4:12
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-5:10
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-5:14
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-6:11
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-7:15
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-8:10
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-9:10
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-10:10
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-11:8
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-12:13
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-13:22
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-14:9
i,0.389,0.768,0.256,0.038,0.119,0.334,2021-6-14-15:10
i,0.832,0.316,0.063,0.411,0.258,0.329,2021-6-14-16:18
i,0.832,0.316,0.063,0.411,0.258,0.329,2021-6-14-17:26
i,0.832,0.316,0.063,0.411,0.258,0.329,2021-6-14-18:11
i,0.832,0.316,0.063,0.411,0.258,0.329,2021-6-14-19:9
i,0.832,0.316,0.063,0.411,0.258,0.329,2021-6-14-20:9
i,0.819,0.699,0.0469,0.0144,0.375,0.478,2021-6-14-21:9
i,0.819,0.699,0.0469,0.0144,0.375,0.478,2021-6-14-22:10
i,0.819,0.699,0.0469,0.0144,0.375,0.478,2021-6-14-23:10
i,0.742,0.518,0.345,0.482,0.143,0.622,2021-6-15-0:31
i,0.613,0.631,0.12,0.0663,0.169,0.33,2021-6-15-2:4
i,0.613,0.631,0.12,0.0663,0.169,0.33,2021-6-15-3:15
i,0.537,0.587,0.0771,0.0275,0.0961,0.365,2021-6-15-4:12
i,0.537,0.587,0.0771,0.0275,0.0961,0.365,2021-6-15-5:14
i,0.537,0.587,0.0771,0.0275,0.0961,0.365,2021-6-15-6:11
i,0.532,0.766,0.0817,0.101,0.175,0.402,2021-6-15-7:13
i,0.438,0.433,0.0966,0.055,0.166,0.176,2021-6-15-8:11
i,0.757,0.557,0.0511,0.325,0.13,0.217,2021-6-15-9:9
i,0.275,0.432,0.0345,0.364,0.11,0.286,2021-6-15-10:11
i,0.799,0.301,0.185,0.195,0.0816,0.511,2021-6-15-11:8
i,0.767,0.593,0.0413,0.0324,0.0878,0.579,2021-6-15-12:14
i,0.723,0.55,0.212,0.154,0.112,0.167,2021-6-15-13:22
i,0.69,0.502,0.0638,0.0306,0.145,0.329,2021-6-15-14:9
i,0.651,0.681,0.18,0.0816,0.246,0.408,2021-6-15-15:10
i,0.653,0.453,0.0351,0.307,0.113,0.0405,2021-6-15-16:18
i,0.653,0.453,0.0351,0.307,0.113,0.0405,2021-6-15-17:29
i,0.653,0.453,0.0351,0.307,0.113,0.0405,2021-6-15-18:14
